ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,MONTH,MONTHS,YEAR,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,ORDER_YEAR,ORDER_MONTH,ORDER_QUARTER,PROFIT,COST,PROFIT_MARGIN,CUSTOMER_TYPE,TOTAL_ORDERS,AVG_ORDER_VALUE,PROFIT_PER_UNIT,DEALSIZE_SEGMENT
10110,37,146.84,16,5433.08,3/18/2018,March,3,2018,,Shipped,Classic Cars,124,S18_1589,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,1086.616,4346.464,0.32,Repeat,3,3094.270784,29.37,Medium
10110,42,144.5,7,6069,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,170,S18_1749,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,1213.8,4855.2,0.06,Repeat,3,3094.270784,28.9,Medium
10110,32,50.25,6,1608,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,60,S18_2248,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,321.6,1286.4,0.04,Repeat,3,3094.270784,10.05,Small
10110,33,116.96,4,3859.68,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,127,S18_2325,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,771.936,3087.744,0.13,Repeat,3,3094.270784,23.39,Medium
10110,31,163.69,1,5074.39,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,168,S18_2795,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,1014.878,4059.512,0.18,Repeat,3,3094.270784,32.74,Medium
10110,28,89.27,8,2499.56,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,92,S18_4409,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,499.912,1999.648,0.18,Repeat,3,3094.270784,17.85,Small
10110,42,61.29,9,2574.18,3/18/2018,March,3,2018,0,Shipped,Classic Cars,71,S18_4933,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,514.836,2059.344,0.07,Repeat,3,3094.270784,12.26,Small
10110,36,85.25,13,3069,3/18/2018,March,3,2018,0,Shipped,Classic Cars,73,S24_1046,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,613.8,2455.2,0.31,Repeat,3,3094.270784,17.05,Medium
10110,29,59.37,15,1721.73,3/18/2018,March,3,2018,0,Shipped,Classic Cars,50,S24_1628,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,344.346,1377.384,0.33,Repeat,3,3094.270784,11.87,Small
10110,20,35.51,3,710.2,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,33,S24_1937,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,142.04,568.16,0.26,Repeat,3,3094.270784,7.1,Small
10110,39,44.35,2,1729.65,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,44,S24_2022,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,345.93,1383.72,0.21,Repeat,3,3094.270784,8.87,Small
10110,43,78.15,11,3360.45,3/18/2018,March,3,2018,0,Shipped,Classic Cars,90,S24_2766,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,672.09,2688.36,0.08,Repeat,3,3094.270784,15.63,Medium
10110,46,129.18,10,5942.28,3/18/2018,March,3,2018,0,Shipped,Classic Cars,117,S24_2887,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,1188.456,4753.824,0.28,Repeat,3,3094.270784,25.84,Medium
10110,27,73.62,12,1987.74,3/18/2018,March,3,2018,0,Shipped,Classic Cars,85,S24_3191,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,397.548,1590.192,0.08,Repeat,3,3094.270784,14.72,Small
10110,37,100.66,14,3724.42,3/18/2018,March,3,2018,0,Shipped,Classic Cars,107,S24_3432,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2018,3,2018Q1,744.884,2979.536,0.15,Repeat,3,3094.270784,20.13,Medium
10110,48,34.47,5,1654.56,3/18/2018,March,3,2018,0,Shipped,Vintage Cars,41,S24_3969,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Small,2018,3,2018Q1,330.912,1323.648,0.05,Repeat,3,3094.270784,6.89,Small
10306,31,211.96,13,6570.76,10/14/2019,October,10,2019,575,Shipped,Classic Cars,207,S12_1108,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2019,10,2019Q4,1314.152,5256.608,0.22,Repeat,3,3094.270784,42.39,Medium
10306,34,146.55,14,4982.7,10/14/2019,October,10,2019,0,Shipped,Classic Cars,151,S12_3148,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2019,10,2019Q4,996.54,3986.16,0.18,Repeat,3,3094.270784,29.31,Medium
10306,20,181.67,12,3633.4,10/14/2019,October,10,2019,0,Shipped,Classic Cars,173,S12_3891,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2019,10,2019Q4,726.68,2906.72,0.24,Repeat,3,3094.270784,36.33,Medium
10306,32,117.47,9,3759.04,10/14/2019,October,10,2019,0,Shipped,Vintage Cars,136,S18_3140,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2019,10,2019Q4,751.808,3007.232,0.07,Repeat,3,3094.270784,23.49,Medium
10306,40,91.76,11,3670.4,10/14/2019,October,10,2019,0,Shipped,Trains,100,S18_3259,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2019,10,2019Q4,734.08,2936.32,0.13,Repeat,3,3094.270784,18.35,Medium
10306,23,156.55,16,3600.65,10/14/2019,October,10,2019,0,Shipped,Classic Cars,143,S18_4027,"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,Uk,Ashworth,Victoria,Medium,2019,10,2019Q4,720.13,2880.52,0.27,Repeat,3,3094.270784,31.31,Medium
